Match,Venue,Times,Country,Against_Country,Scored_total,Player,Bat_Status_,Runs_scored,Ball_scored,scored_4s,scored_6s,scored_SR,Overs_Conseded,MOvers_Conseded,Runs_Conseded,Wickets_Conseded,NB_Conseded,WD_Conseded,ECO_Conseded
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Aaron Johnson,c NR Kumar b Harmeet Singh,23.0,16.0,5.0,0.0,143.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Navneet Dhaliwal,c Jessy Singh b CJ Anderson,61.0,44.0,6.0,3.0,138.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Pargat Singh,run out (Jessy Singh/Monank Patel),5.0,7.0,0.0,0.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Nicholas Kirton,c CJ Anderson b Ali Khan,51.0,31.0,3.0,2.0,164.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Shreyas Movva (wk),not out,32.0,16.0,2.0,2.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Dilpreet Singh,run out (Steven Taylor/Monank Patel),11.0,5.0,1.0,1.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",Canada,United States, 194-5 (20 Ov) ,Dillon Heyliger,not out,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",United States,Canada, 197-3 (17.4 Ov) ,Steven Taylor,lbw b Kaleem Sana,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",United States,Canada, 197-3 (17.4 Ov) ,Monank Patel (c & wk),c Shreyas Movva b Dillon Heyliger,16.0,16.0,2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",United States,Canada, 197-3 (17.4 Ov) ,Andries Gous,c Aaron Johnson b Nikhil Dutta,65.0,46.0,7.0,3.0,141.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",United States,Canada, 197-3 (17.4 Ov) ,Aaron Jones,not out,94.0,40.0,4.0,10.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
United States vs Canada,"Grand Prairie Stadium, Dallas ","Jun 01, 07:30 PM LOCAL  ",United States,Canada, 197-3 (17.4 Ov) ,Corey Anderson,not out,3.0,5.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Tony Ura,c Pooran b Romario Shepherd,2.0,5.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Assad Vala (c),c Roston Chase b Alzarri Joseph,21.0,22.0,2.0,1.0,95.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Lega Siaka,b Akeal Hosein,1.0,2.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Sese Bau,b Alzarri Joseph,50.0,43.0,6.0,1.0,116.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Hiri Hiri,c Rovman Powell b Motie,2.0,6.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Charles Amini,c Pooran b Russell,12.0,14.0,0.0,0.0,85.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Kiplin Doriga (wk),not out,27.0,18.0,3.0,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Chad Soper,b Russell,10.0,9.0,1.0,0.0,111.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Alei Nao,run out (Alzarri Joseph),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",Papua New Guinea,West Indies, 136-8 (20 Ov) ,Kabua Morea,not out,2.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",West Indies,Papua New Guinea, 137-5 (19 Ov) ,Brandon King,c Lega Siaka b Assad Vala,34.0,29.0,7.0,0.0,117.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",West Indies,Papua New Guinea, 137-5 (19 Ov) ,Johnson Charles,lbw b Alei Nao,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",West Indies,Papua New Guinea, 137-5 (19 Ov) ,Nicholas Pooran (wk),c Tony Ura b John Kariko,27.0,27.0,1.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",West Indies,Papua New Guinea, 137-5 (19 Ov) ,Roston Chase,not out,42.0,27.0,4.0,2.0,155.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",West Indies,Papua New Guinea, 137-5 (19 Ov) ,Rovman Powell (c),c Kiplin Doriga b Chad Soper,15.0,14.0,2.0,0.0,107.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",West Indies,Papua New Guinea, 137-5 (19 Ov) ,Sherfane Rutherford,c Kiplin Doriga b Assad Vala,2.0,7.0,0.0,0.0,28.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
West Indies vs Papua New Guinea,"Providence Stadium, Guyana ","Jun 02, 10:30 AM LOCAL  ",West Indies,Papua New Guinea, 137-5 (19 Ov) ,Andre Russell,not out,15.0,9.0,0.0,1.0,166.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Oman,Namibia, 109-10 (19.4 Ov) ,Kashyap,lbw b Trumpelmann,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Oman,Namibia, 109-10 (19.4 Ov) ,Naseem Khushi (wk),c Gerhard Erasmus b Trumpelmann,6.0,6.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Oman,Namibia, 109-10 (19.4 Ov) ,Aqib Ilyas (c),lbw b Trumpelmann,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Oman,Namibia, 109-10 (19.4 Ov) ,Zeeshan Maqsood,lbw b Bernard Scholtz,22.0,20.0,4.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Oman,Namibia, 109-10 (19.4 Ov) ,Khalid Kail,c and b Wiese,34.0,39.0,1.0,1.0,87.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Oman,Namibia, 109-10 (19.4 Ov) ,Ayaan Khan,c Jan Frylinck b Gerhard Erasmus,15.0,21.0,0.0,1.0,71.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Oman,Namibia, 109-10 (19.4 Ov) ,Mohammad Nadeem,lbw b Gerhard Erasmus,6.0,10.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Oman,Namibia, 109-10 (19.4 Ov) ,Mehran Khan,lbw b Wiese,7.0,8.0,1.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Oman,Namibia, 109-10 (19.4 Ov) ,Shakeel Ahmed,c Trumpelmann b Wiese,11.0,9.0,2.0,0.0,122.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Oman,Namibia, 109-10 (19.4 Ov) ,Kaleemullah,lbw b Trumpelmann,2.0,3.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Oman,Namibia, 109-10 (19.4 Ov) ,Bilal Khan,not out,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Namibia,Oman, 109-6 (20 Ov) ,Michael van Lingen,b Bilal Khan,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Namibia,Oman, 109-6 (20 Ov) ,Nikolaas Davin,c Mohammad Nadeem b Aqib Ilyas,24.0,31.0,2.0,1.0,77.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Namibia,Oman, 109-6 (20 Ov) ,Jan Frylinck,b Mehran Khan,45.0,48.0,6.0,0.0,93.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Namibia,Oman, 109-6 (20 Ov) ,Gerhard Erasmus (c),c Zeeshan Maqsood b Ayaan Khan,13.0,16.0,1.0,0.0,81.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Namibia,Oman, 109-6 (20 Ov) ,JJ Smit,c Ayaan Khan b Mehran Khan,8.0,12.0,1.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Namibia,Oman, 109-6 (20 Ov) ,David Wiese,not out,9.0,8.0,0.0,1.0,112.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Namibia,Oman, 109-6 (20 Ov) ,Zane Green (wk),lbw b Mehran Khan,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Namibia vs Oman,"Kensington Oval, Bridgetown, Barbados ","Jun 02, 08:30 PM LOCAL  ",Namibia,Oman, 109-6 (20 Ov) ,Malan Kruger,not out,1.0,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",Sri Lanka,South Africa, 77-10 (19.1 Ov) ,Pathum Nissanka,c Klaasen b Ottneil Baartman,3.0,8.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",Sri Lanka,South Africa, 77-10 (19.1 Ov) ,Kusal Mendis (wk),c Tristan Stubbs b Nortje,19.0,30.0,1.0,0.0,63.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",Sri Lanka,South Africa, 77-10 (19.1 Ov) ,Kamindu Mendis,c Reeza Hendricks b Nortje,11.0,15.0,1.0,0.0,73.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",Sri Lanka,South Africa, 77-10 (19.1 Ov) ,W Hasaranga (c),st de Kock b Maharaj,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",Sri Lanka,South Africa, 77-10 (19.1 Ov) ,Samarawickrama,b Maharaj,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",Sri Lanka,South Africa, 77-10 (19.1 Ov) ,Asalanka,c Reeza Hendricks b Nortje,6.0,9.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",Sri Lanka,South Africa, 77-10 (19.1 Ov) ,Mathews,c Ottneil Baartman b Nortje,16.0,16.0,0.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",Sri Lanka,South Africa, 77-10 (19.1 Ov) ,Shanaka,b Rabada,9.0,10.0,0.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",Sri Lanka,South Africa, 77-10 (19.1 Ov) ,M Theekshana,not out,7.0,16.0,1.0,0.0,43.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",Sri Lanka,South Africa, 77-10 (19.1 Ov) ,Matheesha Pathirana,c Markram b Rabada,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",Sri Lanka,South Africa, 77-10 (19.1 Ov) ,N Thushara,run out (Nortje/Marco Jansen),0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",South Africa,Sri Lanka, 80-4 (16.2 Ov) ,Quinton de Kock (wk),c and b W Hasaranga,20.0,27.0,0.0,1.0,74.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",South Africa,Sri Lanka, 80-4 (16.2 Ov) ,Reeza Hendricks,c Kamindu Mendis b N Thushara,4.0,2.0,1.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",South Africa,Sri Lanka, 80-4 (16.2 Ov) ,Aiden Markram (c),c Kamindu Mendis b Shanaka,12.0,14.0,0.0,1.0,85.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",South Africa,Sri Lanka, 80-4 (16.2 Ov) ,Tristan Stubbs,c Asalanka b W Hasaranga,13.0,28.0,0.0,0.0,46.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",South Africa,Sri Lanka, 80-4 (16.2 Ov) ,Heinrich Klaasen,not out,19.0,22.0,1.0,1.0,86.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sri Lanka vs South Africa,"Nassau County International Cricket Stadium, New York ","Jun 03, 10:30 AM LOCAL  ",South Africa,Sri Lanka, 80-4 (16.2 Ov) ,David Miller,not out,6.0,6.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Afghanistan,Uganda, 183-5 (20 Ov) ,Gurbaz (wk),c Riazat Ali Shah b Alpesh Ramjani,76.0,45.0,4.0,4.0,168.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Afghanistan,Uganda, 183-5 (20 Ov) ,Ibrahim Zadran,b Masaba,70.0,46.0,9.0,1.0,152.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Afghanistan,Uganda, 183-5 (20 Ov) ,Najibullah,c Dinesh Nakrani b Masaba,2.0,3.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Afghanistan,Uganda, 183-5 (20 Ov) ,Nabi,not out,14.0,16.0,0.0,0.0,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Afghanistan,Uganda, 183-5 (20 Ov) ,Gulbadin,c Masaba b Cosmas Kyewuta,4.0,5.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Afghanistan,Uganda, 183-5 (20 Ov) ,Azmatullah,c Alpesh Ramjani b Cosmas Kyewuta,5.0,5.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Afghanistan,Uganda, 183-5 (20 Ov) ,Rashid Khan (c),not out,2.0,1.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Uganda,Afghanistan, 58-10 (16 Ov) ,Ronak Patel,b Fazalhaq Farooqi,4.0,2.0,1.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Uganda,Afghanistan, 58-10 (16 Ov) ,Simon Ssesazi (wk),c Fazalhaq Farooqi b Mujeeb,4.0,4.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Uganda,Afghanistan, 58-10 (16 Ov) ,Roger Mukasa,lbw b Fazalhaq Farooqi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Uganda,Afghanistan, 58-10 (16 Ov) ,Riazat Ali Shah,b Fazalhaq Farooqi,11.0,34.0,0.0,0.0,32.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Uganda,Afghanistan, 58-10 (16 Ov) ,Dinesh Nakrani,b Naveen-ul-Haq,6.0,8.0,1.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Uganda,Afghanistan, 58-10 (16 Ov) ,Alpesh Ramjani,c Gulbadin b Naveen-ul-Haq,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Uganda,Afghanistan, 58-10 (16 Ov) ,Robinson Obuya,c Gurbaz b Fazalhaq Farooqi,14.0,25.0,0.0,1.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Uganda,Afghanistan, 58-10 (16 Ov) ,Brian Masaba (c),c Gurbaz b Fazalhaq Farooqi,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Uganda,Afghanistan, 58-10 (16 Ov) ,Bilal Hassan,lbw b Rashid Khan,8.0,16.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Uganda,Afghanistan, 58-10 (16 Ov) ,Cosmas Kyewuta,not out,2.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Afghanistan vs Uganda,"Providence Stadium, Guyana ","Jun 03, 08:30 PM LOCAL  ",Uganda,Afghanistan, 58-10 (16 Ov) ,Henry Ssenyondo,b Rashid Khan,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England vs Scotland,"Kensington Oval, Bridgetown, Barbados ","Jun 04, 10:30 AM LOCAL  ",Scotland,England, 90-0 (10 Ov) ,George Munsey,not out,41.0,31.0,4.0,2.0,132.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
England vs Scotland,"Kensington Oval, Bridgetown, Barbados ","Jun 04, 10:30 AM LOCAL  ",Scotland,England, 90-0 (10 Ov) ,Michael Jones,not out,45.0,30.0,4.0,2.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands vs Nepal,"Grand Prairie Stadium, Dallas ","Jun 04, 10:30 AM LOCAL  ",Nepal,Netherlands, 106-10 (19.2 Ov) ,Kushal Bhurtel,lbw b van Beek,7.0,10.0,1.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands vs Nepal,"Grand Prairie Stadium, Dallas ","Jun 04, 10:30 AM LOCAL  ",Nepal,Netherlands, 106-10 (19.2 Ov) ,Aasif Sheikh (wk),c Kingma b Tim Pringle,4.0,8.0,1.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands vs Nepal,"Grand Prairie Stadium, Dallas ","Jun 04, 10:30 AM LOCAL  ",Nepal,Netherlands, 106-10 (19.2 Ov) ,Anil Sah,c van Beek b Tim Pringle,11.0,12.0,2.0,0.0,91.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands vs Nepal,"Grand Prairie Stadium, Dallas ","Jun 04, 10:30 AM LOCAL  ",Nepal,Netherlands, 106-10 (19.2 Ov) ,Rohit Paudel (c),c Max ODowd b Tim Pringle,35.0,37.0,5.0,0.0,94.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands vs Nepal,"Grand Prairie Stadium, Dallas ","Jun 04, 10:30 AM LOCAL  ",Nepal,Netherlands, 106-10 (19.2 Ov) ,Kushal Malla,c Max ODowd b van Meekeren,9.0,9.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands vs Nepal,"Grand Prairie Stadium, Dallas ","Jun 04, 10:30 AM LOCAL  ",Nepal,Netherlands, 106-10 (19.2 Ov) ,Dipendra Singh,c van Beek b Bas de Leede,1.0,6.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands vs Nepal,"Grand Prairie Stadium, Dallas ","Jun 04, 10:30 AM LOCAL  ",Nepal,Netherlands, 106-10 (19.2 Ov) ,Sompal Kami,b van Meekeren,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands vs Nepal,"Grand Prairie Stadium, Dallas ","Jun 04, 10:30 AM LOCAL  ",Nepal,Netherlands, 106-10 (19.2 Ov) ,Gulsan Jha,b van Beek,14.0,15.0,0.0,1.0,93.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Netherlands vs Nepal,"Grand Prairie Stadium, Dallas ","Jun 04, 10:30 AM LOCAL  ",Nepal,Netherlands, 106-10 (19.2 Ov) ,Karan KC,c Kingma b Bas de Leede,17.0,12.0,0.0,2.0,141.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
